Date,Close
1/2/2015 16:00,54.26
1/5/2015 16:00,52.55
1/6/2015 16:00,50.7
1/7/2015 16:00,51.17
1/8/2015 16:00,51.94
1/9/2015 16:00,50.78
1/12/2015 16:00,50.38
1/13/2015 16:00,50.02
1/14/2015 16:00,49.05
1/15/2015 16:00,47.23
1/16/2015 16:00,47.61
1/20/2015 16:00,47.26
1/21/2015 16:00,47.74
1/22/2015 16:00,49.57
1/23/2015 16:00,48.62
1/26/2015 16:00,48.89
1/27/2015 16:00,48.31
1/28/2015 16:00,47.11
1/29/2015 16:00,47.62
1/30/2015 16:00,46.95
2/2/2015 16:00,47.72
2/3/2015 16:00,48.88
2/4/2015 16:00,48.4
2/5/2015 16:00,48.54
2/6/2015 16:00,49.14
2/9/2015 16:00,49.21
2/10/2015 16:00,49.39
2/11/2015 16:00,49.68
2/12/2015 16:00,50.89
2/13/2015 16:00,51.2
2/17/2015 16:00,51.69
2/18/2015 16:00,51.42
2/19/2015 16:00,51.12
2/20/2015 16:00,51.78
2/23/2015 16:00,51.32
2/24/2015 16:00,51.9
2/25/2015 16:00,52.09
2/26/2015 16:00,52.41
2/27/2015 16:00,52.42
3/2/2015 16:00,53.49
3/3/2015 16:00,53.73
3/4/2015 16:00,53.67
3/5/2015 16:00,53.56
3/6/2015 16:00,53.06
3/9/2015 16:00,52.95
3/10/2015 16:00,51.23
3/11/2015 16:00,52.33
3/12/2015 16:00,54.08
3/13/2015 16:00,53.54
3/16/2015 16:00,53.69
3/17/2015 16:00,53.84
3/18/2015 16:00,53.72
3/19/2015 16:00,52.38
3/20/2015 16:00,52.98
3/23/2015 16:00,52.48
3/24/2015 16:00,51.94
3/25/2015 16:00,51.38
3/26/2015 16:00,51.19
3/27/2015 16:00,51
3/30/2015 16:00,51.64
3/31/2015 16:00,51.52
4/1/2015 16:00,51.62
4/2/2015 16:00,51.86
4/6/2015 16:00,51.62
4/7/2015 16:00,51.52
4/8/2015 16:00,51.89
4/9/2015 16:00,52.13
4/10/2015 16:00,52.43
4/13/2015 16:00,52.66
4/14/2015 16:00,52.73
4/15/2015 16:00,53.21
4/16/2015 16:00,54.02
4/17/2015 16:00,53.07
4/20/2015 16:00,53.2
4/21/2015 16:00,52.48
4/22/2015 16:00,53.1
4/23/2015 16:00,53.22
4/24/2015 16:00,52.9
4/27/2015 16:00,52.8
4/28/2015 16:00,53.02
4/29/2015 16:00,53.76
4/30/2015 16:00,53.32
5/1/2015 16:00,53.76
5/4/2015 16:00,54.17
5/5/2015 16:00,53.35
5/6/2015 16:00,52.82
5/7/2015 16:00,53.31
5/8/2015 16:00,54.02
5/11/2015 16:00,53.97
5/12/2015 16:00,53.74
5/13/2015 16:00,54.2
5/14/2015 16:00,54.6
5/15/2015 16:00,54.24
5/18/2015 16:00,54.67
5/19/2015 16:00,55.33
5/20/2015 16:00,54.89
5/21/2015 16:00,54.84
5/22/2015 16:00,54.97
5/26/2015 16:00,54.24
5/27/2015 16:00,54.87
5/28/2015 16:00,54.55
5/29/2015 16:00,54.08
6/1/2015 16:00,54.45
6/2/2015 16:00,54.72
6/3/2015 16:00,55.63
6/4/2015 16:00,55.33
6/5/2015 16:00,56.24
6/8/2015 16:00,55.65
6/9/2015 16:00,56
6/10/2015 16:00,57.02
6/11/2015 16:00,57.21
6/12/2015 16:00,57.11
6/15/2015 16:00,56.65
6/16/2015 16:00,57.07
6/17/2015 16:00,56.54
6/18/2015 16:00,56.76
6/19/2015 16:00,56.23
6/22/2015 16:00,56.95
6/23/2015 16:00,57.39
6/24/2015 16:00,56.66
6/25/2015 16:00,56.19
6/26/2015 16:00,56.34
6/29/2015 16:00,54.88
6/30/2015 16:00,55.24
7/1/2015 16:00,55.68
7/2/2015 16:00,55.37
7/6/2015 16:00,55.08
7/7/2015 16:00,54.5
7/8/2015 16:00,52.8
7/9/2015 16:00,53.71
7/10/2015 16:00,54.56
7/13/2015 16:00,55.54
7/14/2015 16:00,55.91
7/15/2015 16:00,56.46
7/16/2015 16:00,58.59
7/17/2015 16:00,58.75
7/20/2015 16:00,58.85
7/21/2015 16:00,59.1
7/22/2015 16:00,60.34
7/23/2015 16:00,59.87
7/24/2015 16:00,58.7
7/27/2015 16:00,57.96
7/28/2015 16:00,58.37
7/29/2015 16:00,58.92
7/30/2015 16:00,58.88
7/31/2015 16:00,58.46
8/3/2015 16:00,58.44
8/4/2015 16:00,58.47
8/5/2015 16:00,58.74
8/6/2015 16:00,58.1
8/7/2015 16:00,57.91
8/10/2015 16:00,58.74
8/11/2015 16:00,57.64
8/12/2015 16:00,56.91
8/13/2015 16:00,57.33
8/14/2015 16:00,57.59
8/17/2015 16:00,57.77
8/18/2015 16:00,57.55
8/19/2015 16:00,57
8/20/2015 16:00,55.33
8/21/2015 16:00,53.6
